Timestamp,Pack Voltage(V),Pack Current(A),SOC(%),MOSFET Temp(C),Highest Cell Voltage(V),Highest Cell Number,Lowest Cell Voltage(V),Lowest Cell Number,Highest Temperature(C),Highest Temp Sensor,Lowest Temperature(C),Lowest Temp Sensor,Balancing Cells,Errors
2026-05-19 10:33:11,22.2,0.0,49.7,,3.708,2,3.697,4,36,2,34,1,error,
2026-05-19 10:33:15,22.2,0.0,49.7,,3.708,2,3.697,4,36,2,34,1,error,
2026-05-19 10:33:18,22.2,0.0,49.7,,3.707,2,3.697,4,36,2,34,1,error,
2026-05-19 10:33:22,22.2,0.0,49.7,,3.708,2,3.698,4,36,2,34,1,error,
2026-05-19 10:33:25,22.2,0.0,49.7,,3.708,2,3.697,4,36,2,34,1,error,
2026-05-19 10:33:29,22.2,0.0,49.7,,3.708,2,3.697,4,36,2,34,1,error,
2026-05-19 10:33:32,22.2,0.0,49.7,,3.707,2,3.697,1,36,2,34,1,error,
2026-05-19 10:33:35,22.2,0.0,49.7,,3.708,2,3.697,4,36,2,34,1,error,
2026-05-19 10:33:39,22.2,0.0,49.7,,3.707,2,3.697,4,36,2,34,1,error,
2026-05-19 10:33:43,22.2,0.0,49.7,,3.708,2,3.697,4,36,2,34,1,error,
2026-05-19 10:33:46,22.2,0.0,49.7,,3.708,2,3.697,4,36,2,34,1,error,
2026-05-19 10:33:49,22.2,0.0,49.7,,3.707,2,3.697,4,36,2,34,1,error,
2026-05-19 10:33:53,22.2,0.0,49.7,,3.708,2,3.697,4,36,2,34,1,error,
2026-05-19 10:33:56,22.2,0.0,49.7,,3.708,2,3.697,4,36,2,34,1,error,
2026-05-19 10:34:00,22.2,0.0,49.7,,3.707,2,3.697,1,36,2,34,1,error,
2026-05-19 10:34:03,22.2,0.0,49.7,,3.707,2,3.697,4,36,2,34,1,error,
2026-05-19 10:34:07,22.2,0.0,49.7,,3.708,2,3.697,4,36,2,34,1,error,
2026-05-19 10:34:10,22.2,0.0,49.7,,3.707,2,3.697,4,36,2,34,1,error,
2026-05-19 10:34:14,22.2,0.0,49.7,,3.707,2,3.697,4,36,2,34,1,error,
2026-05-19 10:34:17,22.2,0.0,49.7,,3.707,2,3.697,4,36,2,34,1,error,
2026-05-19 10:34:21,22.2,0.0,49.7,,3.707,2,3.697,4,36,2,34,1,error,
2026-05-19 10:34:24,22.2,0.0,49.7,,3.707,2,3.697,4,36,2,34,1,error,
2026-05-19 10:34:28,22.2,0.0,49.7,,3.707,2,3.697,4,36,2,34,1,error,
2026-05-19 10:34:31,22.2,0.0,49.7,,3.707,2,3.697,4,36,2,34,1,error,
2026-05-19 10:34:35,22.2,0.0,49.7,,3.707,2,3.697,4,36,2,34,1,error,
2026-05-19 10:34:38,22.2,0.0,49.7,,3.707,2,3.697,4,36,2,34,1,error,
2026-05-19 10:34:42,22.2,0.0,49.7,,3.707,2,3.697,4,36,2,34,1,error,
2026-05-19 10:34:45,22.2,0.0,49.7,,3.707,2,3.697,4,36,2,34,1,error,
2026-05-19 10:34:49,22.2,0.0,49.7,,3.707,2,3.697,4,36,2,34,1,error,
2026-05-19 10:34:52,22.2,0.0,49.7,,3.708,2,3.697,4,36,2,34,1,error,
2026-05-19 10:34:56,22.2,0.0,49.7,,3.707,2,3.697,4,36,2,34,1,error,
2026-05-19 10:34:59,22.2,0.0,49.7,,3.707,2,3.697,4,36,2,34,1,error,
2026-05-19 10:35:03,22.2,0.0,49.7,,3.707,2,3.697,4,36,2,34,1,error,
2026-05-19 10:35:06,22.2,0.0,49.7,,3.707,2,3.697,4,36,2,34,1,error,
2026-05-19 10:35:10,22.2,0.0,49.7,,3.707,2,3.697,4,36,2,34,1,error,
2026-05-19 10:35:13,22.2,0.0,49.7,,3.707,2,3.697,4,36,2,34,1,error,
2026-05-19 10:35:17,22.2,0.0,49.7,,3.707,2,3.697,4,36,2,34,1,error,
2026-05-19 10:35:20,22.2,0.0,49.7,,3.707,2,3.697,4,36,2,34,1,error,
2026-05-19 10:35:24,22.2,0.0,49.7,,3.707,2,3.697,4,36,2,34,1,error,
2026-05-19 10:35:27,22.2,0.0,49.7,,3.707,2,3.697,4,36,2,34,1,error,
2026-05-19 10:35:30,22.2,0.0,49.7,,3.707,2,3.697,4,36,2,34,1,error,
2026-05-19 10:35:34,22.2,0.0,49.7,,3.707,2,3.697,4,36,2,34,1,error,
2026-05-19 10:35:37,22.2,0.0,49.7,,3.707,2,3.697,4,36,2,34,1,error,
2026-05-19 10:35:41,22.2,0.0,49.7,,3.707,2,3.697,4,36,2,34,1,error,
2026-05-19 10:35:44,22.2,0.0,49.7,,3.707,2,3.697,4,36,2,34,1,error,
2026-05-19 10:35:48,22.2,0.0,49.7,,3.707,2,3.697,4,36,2,34,1,error,
2026-05-19 10:35:51,22.2,0.0,49.7,,3.707,2,3.697,4,36,2,34,1,error,
2026-05-19 10:35:55,22.2,0.0,49.7,,3.707,2,3.697,4,36,2,34,1,error,
2026-05-19 10:35:58,22.2,0.0,49.7,,3.707,2,3.697,4,36,2,34,1,error,
2026-05-19 10:36:02,22.2,0.0,49.7,,3.707,2,3.697,4,36,2,34,1,error,
2026-05-19 10:36:05,22.2,0.0,49.7,,3.707,2,3.697,4,36,2,34,1,error,
2026-05-19 10:36:09,22.2,0.0,49.7,,3.707,2,3.697,4,36,2,34,1,error,
2026-05-19 10:36:12,22.2,0.0,49.7,,3.707,2,3.695,4,36,2,34,1,error,
2026-05-19 10:36:16,22.2,0.0,49.7,,3.707,2,3.697,4,36,2,34,1,error,
2026-05-19 10:36:19,22.2,0.0,49.7,,3.707,2,3.697,4,36,2,34,1,error,
2026-05-19 10:36:23,22.2,0.0,49.7,,3.707,2,3.697,4,36,2,34,1,error,
2026-05-19 10:36:26,22.2,0.0,49.7,,3.707,2,3.697,4,36,2,34,1,error,
2026-05-19 10:36:29,22.2,0.0,49.7,,3.707,2,3.697,4,36,2,34,1,error,
2026-05-19 10:36:33,22.2,0.0,49.7,,3.707,2,3.697,4,36,2,34,1,error,
2026-05-19 10:36:36,22.2,0.0,49.7,,3.707,2,3.697,4,36,2,34,1,error,
2026-05-19 10:36:40,22.2,0.0,49.7,,3.707,2,3.697,4,36,2,34,1,error,
2026-05-19 10:36:43,22.2,0.0,49.7,,3.707,2,3.697,4,36,2,34,1,error,
2026-05-19 10:36:47,22.2,0.0,49.7,,3.707,2,3.697,4,36,2,34,1,error,
2026-05-19 10:36:50,22.2,0.0,49.7,,3.707,2,3.695,4,36,2,34,1,error,
2026-05-19 10:36:54,22.2,0.0,49.7,,3.707,2,3.697,4,36,2,34,1,error,
2026-05-19 10:36:57,22.2,0.0,49.7,,3.707,2,3.697,4,36,2,34,1,error,
2026-05-19 10:37:01,22.2,0.0,49.7,,3.707,2,3.697,4,36,2,34,1,error,
2026-05-19 10:37:04,22.2,0.0,49.7,,3.707,2,3.697,4,36,2,34,1,error,
2026-05-19 10:37:07,22.2,0.0,49.7,,3.707,2,3.697,4,36,2,34,1,error,
2026-05-19 10:37:11,22.2,0.0,49.7,,3.707,2,3.697,4,36,2,34,1,error,
2026-05-19 10:37:14,22.2,0.0,49.7,,3.707,2,3.697,4,36,2,34,1,error,
2026-05-19 10:37:18,22.2,0.0,49.7,,3.707,2,3.697,4,36,2,34,1,error,
2026-05-19 10:37:21,22.2,0.0,49.7,,3.707,2,3.697,4,36,2,34,1,error,
2026-05-19 10:37:25,22.2,0.0,49.7,,3.707,2,3.697,4,36,2,34,1,error,
2026-05-19 10:37:28,22.2,0.0,49.7,,3.707,2,3.695,4,36,2,34,1,error,
2026-05-19 10:37:32,22.2,0.0,49.7,,3.707,2,3.697,4,36,2,34,1,error,
2026-05-19 10:37:35,22.2,0.0,49.7,,3.707,2,3.697,4,36,2,34,1,error,
2026-05-19 10:37:39,22.2,0.0,49.7,,3.707,2,3.697,4,36,2,34,1,error,
2026-05-19 10:37:42,22.2,0.0,49.7,,3.707,2,3.697,4,36,2,34,1,error,
2026-05-19 10:37:45,22.2,0.0,49.7,,3.707,2,3.695,4,36,2,34,1,error,
2026-05-19 10:37:49,22.2,0.0,49.7,,3.707,2,3.697,4,36,2,34,1,error,
2026-05-19 10:37:52,22.2,0.0,49.7,,3.707,2,3.697,4,36,2,34,1,error,
2026-05-19 10:37:56,22.2,0.0,49.7,,3.707,2,3.697,4,36,2,34,1,error,
2026-05-19 10:37:59,22.2,0.0,49.7,,3.707,2,3.697,4,36,2,34,1,error,
2026-05-19 10:38:03,22.2,0.0,49.7,,3.707,2,3.695,4,36,2,34,1,error,
2026-05-19 10:38:06,22.2,0.0,49.7,,3.707,2,3.697,4,36,2,34,1,error,
2026-05-19 10:38:10,22.2,0.0,49.7,,3.707,2,3.697,4,36,2,34,1,error,
2026-05-19 10:38:13,22.2,0.0,49.7,,3.707,2,3.695,4,36,2,34,1,error,
2026-05-19 10:38:17,22.2,0.0,49.7,,3.707,2,3.697,4,36,2,34,1,error,
2026-05-19 10:38:20,22.2,0.0,49.7,,3.707,2,3.697,4,36,2,34,1,error,
2026-05-19 10:38:24,22.2,0.0,49.7,,3.707,2,3.695,4,36,2,34,1,error,
2026-05-19 10:38:27,22.2,0.0,49.7,,3.707,2,3.697,4,36,2,34,1,error,
2026-05-19 10:38:31,22.2,0.0,49.7,,3.706,2,3.697,4,36,2,34,1,error,
2026-05-19 10:38:34,22.2,0.0,49.7,,3.707,2,3.695,4,36,2,34,1,error,
2026-05-19 10:38:38,22.2,0.0,49.7,,3.707,2,3.695,4,36,2,34,1,error,
2026-05-19 10:38:41,22.2,0.0,49.7,,3.707,2,3.694,4,36,2,34,1,error,
2026-05-19 10:38:45,22.2,0.0,49.7,,3.707,2,3.695,4,36,2,34,1,error,
2026-05-19 10:38:48,22.2,0.0,49.7,,3.707,2,3.697,4,36,2,34,1,error,
2026-05-19 10:38:52,22.2,0.0,49.7,,3.707,2,3.695,4,36,2,34,1,error,
2026-05-19 10:38:55,22.2,0.0,49.7,,3.707,2,3.695,4,36,2,34,1,error,
2026-05-19 10:38:58,22.2,0.0,49.7,,3.707,2,3.695,4,36,2,34,1,error,
2026-05-19 10:39:02,22.2,0.0,49.7,,3.706,2,3.695,4,36,2,34,1,error,
2026-05-19 10:39:05,22.2,0.0,49.7,,3.707,2,3.695,4,36,2,34,1,error,
2026-05-19 10:39:09,22.2,0.0,49.7,,3.706,2,3.695,4,36,2,34,1,error,
2026-05-19 10:39:12,22.2,0.0,49.7,,3.707,2,3.695,4,36,2,34,1,error,
2026-05-19 10:39:16,22.2,0.0,49.7,,3.707,2,3.695,4,36,2,34,1,error,
2026-05-19 10:39:19,22.2,0.0,49.7,,3.707,2,3.695,4,36,2,34,1,error,
2026-05-19 10:39:23,22.2,0.0,49.7,,3.707,2,3.697,4,36,2,34,1,error,
2026-05-19 10:39:26,22.2,0.0,49.7,,3.707,2,3.695,4,36,2,34,1,error,
2026-05-19 10:39:30,22.2,0.0,49.7,,3.707,2,3.695,4,36,2,34,1,error,
2026-05-19 10:39:33,22.2,0.0,49.7,,3.706,2,3.695,4,36,2,34,1,error,
2026-05-19 10:39:37,22.2,0.0,49.7,,3.707,2,3.694,4,36,2,34,1,error,
2026-05-19 10:39:40,22.2,0.0,49.7,,3.707,2,3.695,4,36,2,34,1,error,
2026-05-19 10:39:44,22.2,0.0,49.7,,3.707,2,3.695,4,36,2,34,1,error,
2026-05-19 10:39:47,22.2,0.0,49.7,,3.707,2,3.695,4,36,2,34,1,error,
2026-05-19 10:39:51,22.2,0.0,49.7,,3.707,2,3.695,4,36,2,34,1,error,
2026-05-19 10:39:54,22.2,0.0,49.7,,3.707,2,3.695,4,36,2,34,1,error,
2026-05-19 10:39:58,22.2,0.0,49.7,,3.707,2,3.695,4,36,2,34,1,error,
2026-05-19 10:40:01,22.2,0.0,49.7,,3.707,2,3.695,4,36,2,34,1,error,
2026-05-19 10:40:05,22.2,0.0,49.7,,3.706,2,3.695,4,36,2,34,1,error,
2026-05-19 10:40:08,22.2,0.0,49.7,,3.707,2,3.697,4,36,2,34,1,error,
2026-05-19 10:40:12,22.2,0.0,49.7,,3.706,2,3.695,4,36,2,34,1,error,
2026-05-19 10:40:15,22.2,0.0,49.7,,3.706,2,3.695,4,36,2,34,1,error,
2026-05-19 10:40:19,22.2,0.0,49.7,,3.706,2,3.695,4,36,2,34,1,error,
2026-05-19 10:40:22,22.2,0.0,49.7,,3.706,2,3.695,4,36,2,34,1,error,
2026-05-19 10:40:26,22.2,0.0,49.7,,3.706,2,3.695,4,36,2,34,1,error,
2026-05-19 10:40:29,22.2,0.0,49.7,,3.707,2,3.697,4,36,2,34,1,error,
2026-05-19 10:40:34,22.2,0.0,49.7,,3.706,2,3.695,4,36,2,34,1,error,
2026-05-19 10:40:38,22.2,0.0,49.7,,3.706,2,3.695,4,36,2,34,1,error,
2026-05-19 10:40:43,22.2,0.0,49.7,,3.706,2,3.695,4,36,2,34,1,error,
2026-05-19 10:40:48,22.2,0.0,49.7,,3.706,2,3.695,4,36,2,34,1,error,
2026-05-19 10:40:54,22.1,0.0,49.7,,3.706,2,3.695,4,36,2,34,1,error,
2026-05-19 10:40:58,22.2,0.0,49.7,,3.706,2,3.695,4,36,2,34,1,error,
2026-05-19 10:41:02,22.2,0.0,49.7,,3.706,2,3.695,4,36,2,34,1,error,
2026-05-19 10:41:07,22.2,0.0,49.7,,3.706,2,3.695,4,36,2,34,1,error,
2026-05-19 10:41:12,22.1,0.0,49.7,,3.707,2,3.695,4,36,2,34,1,error,
2026-05-19 10:41:17,22.2,0.0,49.7,,3.707,2,3.695,4,36,2,34,1,error,
2026-05-19 10:41:22,22.2,0.0,49.7,,3.706,2,3.695,4,36,2,34,1,error,
2026-05-19 10:41:27,22.2,0.0,49.7,,3.706,2,3.695,4,36,2,35,1,error,
2026-05-19 10:41:32,22.2,0.0,49.7,,3.706,2,3.694,4,36,2,35,1,error,
2026-05-19 10:41:36,22.2,0.0,49.7,,3.706,2,3.695,4,36,2,35,1,error,
2026-05-19 10:41:40,22.1,0.0,49.7,,3.706,2,3.695,4,36,2,35,1,error,
2026-05-19 10:41:44,22.2,0.0,49.7,,3.706,2,3.695,4,36,2,35,1,error,
2026-05-19 10:41:49,22.1,0.0,49.7,,3.706,2,3.694,4,36,2,35,1,error,
2026-05-19 10:41:53,22.2,0.0,49.7,,3.706,2,3.695,4,36,2,35,1,error,
2026-05-19 10:41:58,22.1,0.0,49.7,,3.706,2,3.695,4,36,2,35,1,error,
2026-05-19 10:42:02,22.1,0.0,49.7,,3.706,2,3.695,4,36,2,35,1,error,
2026-05-19 10:42:07,22.2,0.0,49.7,,3.706,2,3.694,4,36,2,35,1,error,
2026-05-19 10:42:11,22.2,0.0,49.7,,3.706,2,3.695,4,36,2,35,1,error,
2026-05-19 10:42:16,22.1,0.0,49.7,,3.706,2,3.695,4,36,2,35,1,error,
2026-05-19 10:42:21,22.1,0.0,49.7,,3.706,2,3.695,4,36,2,35,1,error,
2026-05-19 10:42:25,22.1,0.0,49.7,,3.706,2,3.695,4,36,2,35,1,error,
2026-05-19 10:42:29,22.2,0.0,49.7,,3.706,2,3.695,4,36,2,35,1,error,
2026-05-19 10:42:33,22.1,0.0,49.7,,3.706,2,3.695,4,36,2,35,1,error,
2026-05-19 10:42:37,22.2,0.0,49.7,,3.706,2,3.695,4,36,2,35,1,error,
2026-05-19 10:42:42,22.1,0.0,49.7,,3.706,2,3.695,4,36,2,35,1,error,
2026-05-19 10:42:46,22.1,0.0,49.7,,3.706,2,3.695,4,36,2,35,1,error,
2026-05-19 10:42:50,22.1,0.0,49.7,,3.706,2,3.695,4,36,2,35,1,error,
2026-05-19 10:42:54,22.1,0.0,49.7,,3.706,2,3.695,4,36,2,35,1,error,
2026-05-19 10:42:59,22.1,0.0,49.7,,3.706,2,3.695,4,36,2,35,1,error,
2026-05-19 10:43:03,22.1,0.0,49.7,,3.706,2,3.694,4,36,2,35,1,error,
2026-05-19 10:43:07,22.2,0.0,49.7,,3.706,2,3.695,4,36,2,35,1,error,
2026-05-19 10:43:12,22.1,0.0,49.7,,3.706,2,3.695,4,36,2,35,1,error,
2026-05-19 10:43:17,22.1,0.0,49.7,,3.706,2,3.695,4,36,2,35,1,error,
2026-05-19 10:43:21,22.1,0.0,49.7,,3.706,2,3.694,4,36,2,35,1,error,
2026-05-19 10:43:26,22.1,0.0,49.7,,3.706,2,3.695,4,36,2,35,1,error,
2026-05-19 10:43:30,22.1,0.0,49.7,,3.706,2,3.695,4,36,2,35,1,error,
2026-05-19 10:43:36,22.1,0.0,49.7,,3.706,2,3.695,4,36,2,35,1,error,
2026-05-19 10:43:40,22.1,0.0,49.7,,3.706,2,3.695,1,36,2,35,1,error,
2026-05-19 10:43:45,22.1,0.0,49.7,,3.706,2,3.695,4,36,2,35,1,error,
2026-05-19 10:43:49,22.1,0.0,49.7,,3.706,2,3.695,4,36,2,35,1,error,
2026-05-19 10:43:54,22.1,0.0,49.7,,3.706,2,3.695,4,36,2,35,1,error,
2026-05-19 10:43:59,22.1,0.0,49.7,,3.706,2,3.695,4,36,2,35,1,error,
2026-05-19 10:44:04,22.1,0.0,49.7,,3.706,2,3.695,4,36,2,35,1,error,
2026-05-19 10:44:08,22.1,0.0,49.7,,3.706,2,3.694,4,36,2,35,1,error,
2026-05-19 10:44:13,22.1,0.0,49.7,,3.706,2,3.695,4,36,2,35,1,error,
2026-05-19 10:44:18,22.1,0.0,49.7,,3.706,2,3.695,4,36,2,35,1,error,
2026-05-19 10:44:23,22.1,0.0,49.7,,3.706,2,3.695,4,36,2,35,1,error,
2026-05-19 10:44:27,22.1,0.0,49.7,,3.706,2,3.694,4,36,2,35,1,error,
2026-05-19 10:44:31,22.1,0.0,49.7,,3.704,2,3.695,1,36,2,35,1,error,
2026-05-19 10:44:35,22.1,0.0,49.7,,3.706,2,3.692,4,36,2,35,1,error,
2026-05-19 10:44:40,22.1,0.0,49.7,,3.706,2,3.694,4,36,2,35,1,error,
2026-05-19 10:44:44,22.1,0.0,49.7,,3.706,2,3.694,4,36,2,35,1,error,
2026-05-19 10:44:49,22.1,0.0,49.7,,3.706,2,3.694,4,36,2,35,1,error,
2026-05-19 10:44:53,22.1,0.0,49.7,,3.706,2,3.695,4,36,2,35,1,error,
2026-05-19 10:44:57,22.1,0.0,49.7,,3.706,2,3.694,4,36,2,35,1,error,
2026-05-19 10:45:01,22.1,0.0,49.7,,3.706,2,3.694,4,36,2,35,1,error,
2026-05-19 10:45:06,22.1,0.0,49.7,,3.706,2,3.695,4,36,2,35,1,error,
2026-05-19 10:45:11,22.1,0.0,49.7,,3.706,2,3.694,4,36,2,35,1,error,
2026-05-19 10:45:16,22.1,0.0,49.7,,3.704,2,3.694,1,36,2,35,1,error,
2026-05-19 10:45:20,22.1,0.0,49.7,,3.704,2,3.694,4,36,2,35,1,error,
2026-05-19 10:45:24,22.1,0.0,49.7,,3.706,2,3.695,4,36,2,35,1,error,
2026-05-19 10:45:28,22.1,0.0,49.7,,3.706,2,3.694,4,36,2,35,1,error,
2026-05-19 10:45:33,22.1,0.0,49.7,,3.704,2,3.694,1,36,2,35,1,error,
2026-05-19 10:45:38,22.1,0.0,49.7,,3.704,2,3.694,4,36,2,35,1,error,
2026-05-19 10:45:43,22.1,0.0,49.7,,3.706,2,3.694,4,36,2,35,1,error,
2026-05-19 10:45:48,22.1,0.0,49.7,,3.706,2,3.694,4,36,2,35,1,error,
2026-05-19 10:45:53,22.1,0.0,49.7,,3.706,2,3.694,4,36,2,35,1,error,
2026-05-19 10:45:58,22.1,0.0,49.7,,3.706,2,3.694,4,36,2,35,1,error,
2026-05-19 10:46:03,22.1,0.0,49.7,,3.704,2,3.694,1,36,2,35,1,error,
2026-05-19 10:46:07,22.1,0.0,49.7,,3.706,2,3.694,4,36,2,35,1,error,
2026-05-19 10:46:12,22.1,0.0,49.7,,3.706,2,3.695,4,36,2,35,1,error,
2026-05-19 10:46:16,22.1,0.0,49.7,,3.706,2,3.695,4,36,2,35,1,error,
2026-05-19 10:46:21,22.1,0.0,49.7,,3.706,2,3.694,4,36,2,35,1,error,
2026-05-19 10:46:26,22.1,0.0,49.7,,3.704,2,3.694,4,36,2,35,1,error,
2026-05-19 10:46:31,22.1,0.0,49.7,,3.704,2,3.694,4,36,2,35,1,error,
2026-05-19 10:46:36,22.1,0.0,49.7,,3.704,2,3.694,4,36,2,35,1,error,
2026-05-19 10:46:40,22.1,0.0,49.7,,3.706,2,3.694,4,36,2,35,1,error,
2026-05-19 10:46:44,22.1,0.0,49.7,,3.706,2,3.694,4,36,2,35,1,error,
2026-05-19 10:46:49,22.1,0.0,49.7,,3.704,2,3.694,4,36,2,35,1,error,
2026-05-19 10:46:53,22.1,0.0,49.7,,3.704,2,3.694,4,36,2,35,1,error,
2026-05-19 10:46:58,22.1,0.0,49.7,,3.704,2,3.694,4,36,2,35,1,error,
2026-05-19 10:47:04,22.1,0.0,49.7,,3.706,2,3.694,4,36,2,35,1,error,
2026-05-19 10:47:08,22.1,0.0,49.7,,3.704,2,3.694,1,36,2,35,1,error,
2026-05-19 10:47:13,22.1,0.0,49.7,,3.704,2,3.694,4,36,2,35,1,error,
2026-05-19 10:47:17,22.1,0.0,49.7,,3.704,2,3.694,4,36,2,35,1,error,
2026-05-19 10:47:21,22.1,0.0,49.7,,3.704,2,3.694,4,36,2,35,1,error,
2026-05-19 10:47:26,22.1,0.0,49.7,,3.704,2,3.694,4,36,2,35,1,error,
2026-05-19 10:47:30,22.1,0.0,49.7,,3.704,2,3.694,4,36,2,35,1,error,
2026-05-19 10:47:34,22.1,0.0,49.7,,3.704,2,3.694,4,36,2,35,1,error,
2026-05-19 10:47:39,22.1,0.0,49.7,,3.704,2,3.694,4,36,2,35,1,error,
2026-05-19 10:47:43,22.1,0.0,49.7,,3.704,2,3.694,4,36,2,35,1,error,
2026-05-19 10:47:48,22.1,0.0,49.7,,3.704,2,3.694,4,36,2,35,1,error,
2026-05-19 10:47:52,22.1,0.0,49.7,,3.704,2,3.694,4,36,2,35,1,error,
2026-05-19 10:47:57,22.1,0.0,49.7,,3.704,2,3.694,4,36,2,35,1,error,
2026-05-19 10:48:01,22.1,0.0,49.7,,3.704,2,3.694,4,36,2,35,1,error,
2026-05-19 10:48:06,22.1,0.0,49.7,,3.704,2,3.694,4,36,2,35,1,error,
2026-05-19 10:48:10,22.1,0.0,49.7,,3.704,2,3.694,4,36,2,35,1,error,
2026-05-19 10:48:15,22.1,0.0,49.7,,3.704,2,3.694,4,36,2,35,1,error,
2026-05-19 10:48:19,22.1,0.0,49.7,,3.704,2,3.694,4,36,2,35,1,error,
2026-05-19 10:48:25,22.1,0.0,49.7,,3.704,2,3.694,4,36,2,35,1,error,
